Week Ending,IB Vol,OB Vol,Tot Vol,ST Hr,OT Hr,DHL Hr,Temp Hr,Tot Hr
9/22/2019,297,290,587,1940,272.76,2339.7,125.29,2464.99
9/29/2019,257,306,563,2016.89,383.37,2530.03,128.83,2658.86
10/6/2019,254,309,563,2093.05,396.3,2628.87,121.58,2750.45
10/13/2019,124,328,452,2121.53,286.59,2543.7,124.42,2668.12
10/20/2019,309,312,621,2335.04,414.69,2786.9,124.03,2910.93
10/27/2019,301,426,727,2363.89,500.73,2986.79,86.03,3072.82
11/3/2019,316,389,705,2390.3,564.75,3075.37,84.38,3159.75
11/10/2019,328,370,698,2406.25,408.16,2899.83,82.88,2982.71
11/17/2019,238,421,659,2422.63,379.94,2903.88,84.02,2987.9
11/24/2019,278,421,699,2439.81,412.61,3019.78,89.54,3109.32
12/1/2019,290,310,600,1820.28,273.81,2914.72,83.15,2997.87
12/8/2019,252,377,629,2370.05,317.34,2874.14,83.01,2957.15
12/15/2019,282,423,705,2186.89,409.28,2865.99,83.18,2949.17
12/22/2019,252,421,673,2126.29,397.85,2875.31,89.33,2964.64
12/29/2019,280,263,543,1556.07,217.86,2867.62,77.03,2944.65
1/5/2020,244,212,456,1614.66,197.49,2753.46,98.09,2851.55
1/12/2020,286,286,572,2140.95,213.77,2601.92,84.47,2686.39
1/19/2020,350,314,664,2049.02,369.88,2754.8,42.1,2796.9
1/26/2020,231,351,582,2061.17,318.59,2728.36,42,2770.36
2/2/2020,264,300,564,2042.8,248.94,2677.33,48.3,2725.63
2/9/2020,303,313,616,2212.35,329.88,2726.43,42.2,2768.63
2/16/2020,306,300,606,2083.91,307.27,2649.28,80.3,2729.58
2/23/2020,295,330,625,2086.79,257.18,2571.24,71.9,2643.14
3/1/2020,252,288,540,2104.98,239.4,2614.22,42.2,2656.42
3/8/2020,301,299,600,1997.37,173.46,2535.45,32.3,2567.75
3/15/2020,332,301,633,2070.94,173.17,2611.67,56.1,2667.77
3/22/2020,318,327,645,1973.61,305.68,2606.15,44.9,2651.05
3/29/2020,328,260,588,1881.45,242.76,2600.06,42.6,2642.66
4/5/2020,323,317,640,1909.3,283.12,2667.49,42.4,2709.89
4/12/2020,309,314,623,2045.16,281.42,2661.44,42.5,2703.94
4/19/2020,319,323,642,1972.08,201.08,2597.85,17.5,2615.35
4/26/2020,324,285,609,1996.24,261.81,2697.21,0,2697.21
5/3/2020,247,304,551,2017.66,211.51,2662.36,0,2662.36
5/10/2020,339,316,655,2049.88,334.83,2765.08,0,2765.08
5/17/2020,352,288,640,2044.98,244.09,2649.53,0,2649.53
5/24/2020,297,314,611,1989.95,340.45,2720.03,0,2720.03
5/31/2020,263,316,579,1758.84,288.8,2838.17,56,2894.17
